playerName,team_name,318.0,label,date
K. Mrabti,Mechelen,0.00002849,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00017468,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00060207,Club Brugge vs Mechelen,2024-07-26
K. Mrabti,Mechelen,0.00017755,Club Brugge vs Mechelen,2024-07-26
C. Tzolis,Club Brugge,0.00009928,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.0000404,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00028824,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00003518,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00038167,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00063443,Club Brugge vs Mechelen,2024-07-26
S. Walsh,Mechelen,0.00005746,Club Brugge vs Mechelen,2024-07-26
P. Pflücke,Mechelen,0.00002661,Club Brugge vs Mechelen,2024-07-26
S. Walsh,Mechelen,0.00000682,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00001129,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00109067,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00000045,Club Brugge vs Mechelen,2024-07-26
S. Mignolet,Club Brugge,0.00000323,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00000087,Club Brugge vs Mechelen,2024-07-26
S. Mignolet,Club Brugge,0.00001512,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00000138,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00000747,Club Brugge vs Mechelen,2024-07-26
D. Foulon,Mechelen,0.00000331,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00000476,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00001705,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00000042,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00003006,Club Brugge vs Mechelen,2024-07-26
