playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
R. Alebiosu,Kortrijk,Kortrijk vs Gent,0.0,0.0
R. Belghali,Mechelen,Club Brugge vs Mechelen,0.0,0.0
R. Květ,Dender,Dender vs Union Saint-Gilloise,0.0,0.0
R. Neustädter,Westerlo,Westerlo vs Cercle Brugge,0.0,0.0
R. Ogawa,Sint-Truiden,Anderlecht vs Sint-Truiden,0.0,0.0
R. Onyedika,Club Brugge,Club Brugge vs Mechelen,0.0,0.0
R. Sanusi,Beerschot,Beerschot vs OH Leuven,0.0,0.0
R. Schoofs,Mechelen,Club Brugge vs Mechelen,0.0,0.0
R. Van Helden,Sint-Truiden,Anderlecht vs Sint-Truiden,0.0,0.0
R. Vanwesemael,Sint-Truiden,Anderlecht vs Sint-Truiden,0.0,0.0
S. Andreou,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
S. Bansé,Standard Liège,Genk vs Standard Liège,0.0,0.0
S. Benjdida,Standard Liège,Genk vs Standard Liège,0.0,0.0
S. Bolat,Westerlo,Westerlo vs Cercle Brugge,0.0,0.0
S. Kums,Gent,Kortrijk vs Gent,0.0,0.0
S. Lammens,Antwerp,Sporting Charleroi vs Antwerp,0.0,0.0
S. Miangué,Cercle Brugge,Westerlo vs Cercle Brugge,0.0,0.0
S. Michez,Beerschot,Beerschot vs OH Leuven,0.0,0.0
S. Mignolet,Club Brugge,Club Brugge vs Mechelen,0.0,0.0
S. Mitrović,Gent,Kortrijk vs Gent,0.0,0.0
S. Mueanta,OH Leuven,Beerschot vs OH Leuven,0.0,0.0
S. Schrijvers,OH Leuven,Beerschot vs OH Leuven,0.0,0.0
S. Walsh,Mechelen,Club Brugge vs Mechelen,0.0,0.0
T. Akimoto,OH Leuven,Beerschot vs OH Leuven,0.0,0.0
T. Alderweireld,Antwerp,Sporting Charleroi vs Antwerp,0.0,0.0
T. Ambrose,Kortrijk,Kortrijk vs Gent,0.0,0.0
T. Arokodare,Genk,Genk vs Standard Liège,0.0,0.0
T. Chery,Antwerp,Sporting Charleroi vs Antwerp,0.0,0.0
T. Kaneko,Kortrijk,Kortrijk vs Gent,0.0,0.0
T. Leoni,Anderlecht,Anderlecht vs Sint-Truiden,0.0,0.0
T. Leysen,OH Leuven,Beerschot vs OH Leuven,0.0,0.0
T. Raemaekers,Mechelen,Club Brugge vs Mechelen,0.0,0.0
T. Reyners,Beerschot,Beerschot vs OH Leuven,0.0,0.0
T. Rommens,Westerlo,Westerlo vs Cercle Brugge,0.0,0.0
T. Somers,Cercle Brugge,Westerlo vs Cercle Brugge,0.0,0.0
T. Van den Keybus,Westerlo,Westerlo vs Cercle Brugge,0.0,0.0
T. Verlinden,Beerschot,Beerschot vs OH Leuven,0.0,0.0
T. Vlietinck,OH Leuven,Beerschot vs OH Leuven,0.0,0.0
T. Watanabe,Gent,Kortrijk vs Gent,0.0,0.0
V. Dragsnes,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
V. Janssen,Antwerp,Sporting Charleroi vs Antwerp,0.0,0.0
W. Balikwisha,OH Leuven,Beerschot vs OH Leuven,0.0,0.0
W. Cagro,Beerschot,Beerschot vs OH Leuven,0.0,0.0
Warleson,Cercle Brugge,Westerlo vs Cercle Brugge,0.0,0.0
Y. Badji,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
Y. Maziz,OH Leuven,Beerschot vs OH Leuven,0.0,0.0
Y. Sor,Genk,Genk vs Standard Liège,0.0,0.0
Y. Sylla,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
Y. Titraoui,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
Y. Verschaeren,Anderlecht,Anderlecht vs Sint-Truiden,0.0,0.0
Z. Romero,Club Brugge,Club Brugge vs Mechelen,0.0,0.0
Z. Van Den Bosch,Antwerp,Sporting Charleroi vs Antwerp,0.0,0.0
É. Camara,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
