player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
O. Zych,arbc4bzplcoi6vg2udciif23u,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,NaN,NaN,Goalkeeper,Centre,NaN,4,NaN,1,1,3,NaN,NaN,8,10,6,90,30,13,10,26,4,13,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,21,POL,Ekstraklasa,2023_2024
P. Mroziński,52g8fmx7keef417cw3781qmdx,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,3,1,Defender,Left,NaN,13,NaN,1,NaN,8,7,NaN,5,23,9,90,13,7,8,14,5,12,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,13,POL,Ekstraklasa,2023_2024
R. Yakuba,7mzujitqtv4jian7kxq5fbbl6,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,4,2,Defender,Left/Centre,NaN,17,NaN,5,NaN,16,NaN,NaN,3,28,22,90,12,3,1,9,NaN,3,NaN,4,NaN,1,NaN,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,1,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,13,POL,Ekstraklasa,2023_2024
A. Crăciun,eygcz3s62jf1ahwi8w551deqx,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,6,5,Defender,Centre/Right,NaN,24,NaN,11,NaN,19,3,NaN,8,39,26,90,22,5,4,16,2,7,NaN,9,1,1,1,NaN,1,NaN,8,5,NaN,NaN,NaN,1,,NaN,NaN,,,4231,1,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,16,POL,Ekstraklasa,2023_2024
M. Pięczek,cqhqrohwi8zds0d3bxo5jynhm,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,4,NaN,Defender,Right,NaN,17,NaN,5,11,9,NaN,NaN,10,28,9,90,20,11,3,25,3,11,NaN,1,1,3,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,22,POL,Ekstraklasa,2023_2024
K. Stępień,5m0rdkwh8ywa3qx9iod3fuimt,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,2,NaN,Defensive Midfielder,Left/Centre,NaN,11,NaN,3,1,7,2,NaN,4,16,11,90,8,NaN,5,7,1,2,NaN,2,NaN,3,1,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,8,POL,Ekstraklasa,2023_2024
M. Walski,7h620kc2s4jrq47myx3y7fu1h,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,6,3,Defensive Midfielder,Centre/Right,NaN,22,NaN,3,7,8,6,NaN,21,33,10,89,25,10,10,33,6,14,NaN,1,4,4,1,4,1,NaN,NaN,NaN,NaN,NaN,1,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,16,POL,Ekstraklasa,2023_2024
M. Cholewiak,bx4dmftp9kp7dnku168bucm39,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,3,1,Attacking Midfielder,Left,NaN,6,1,5,1,3,NaN,1,3,7,3,67,2,1,2,4,2,3,1,1,1,2,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,2,POL,Ekstraklasa,2023_2024
W. Hajda,4wpsnjx5cc6n5p961y2ybh7ca,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,11,5,Attacking Midfielder,Centre,NaN,14,1,11,1,6,2,NaN,8,23,7,90,7,2,3,17,6,9,NaN,3,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,15,POL,Ekstraklasa,2023_2024
J. Bartosz,85nccmky8hm9pesvqpr8ybv85,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,NaN,NaN,Attacking Midfielder,Right,NaN,4,NaN,3,2,1,NaN,NaN,5,7,2,35,3,1,1,9,2,4,1,2,1,1,NaN,3,NaN,NaN,1,1,NaN,NaN,1,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,6,POL,Ekstraklasa,2023_2024
K. Zapolnik,2iqbz94a9zq4affx6jqrwpf4l,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,17,15,Striker,Centre,NaN,11,NaN,7,NaN,1,1,NaN,10,16,2,67,5,1,1,14,6,10,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,,3,3,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,6,POL,Ekstraklasa,2023_2024
K. Cichoń,aryiugl14kt92vhsr99vgfi8k,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,NaN,POL,Ekstraklasa,2023_2024
M. Koj,6xgp6iuu3hcys59570jhfwudx,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,2,1,Substitute,NaN,Defender,2,NaN,2,NaN,2,1,NaN,NaN,3,3,23,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,1,POL,Ekstraklasa,2023_2024
J. Majchrzak,c3mxgqtx2a7xeb84xpol050k4,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,NaN,POL,Ekstraklasa,2023_2024
M. Mešanović,de4piasm2krjds8gyujxhwtzp,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,6,5,Substitute,NaN,Attacker,3,NaN,3,NaN,NaN,NaN,NaN,3,6,NaN,23,3,1,NaN,6,3,4,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,4,POL,Ekstraklasa,2023_2024
